wavelength spec_bulge1 spec_bulge1_unc spec_bulge2 spec_bulge2_unc spec_bulge3 spec_bulge3_unc spec_bulge4 spec_bulge4_unc spec_disk spec_disk_unc spec_clump1 spec_clump1_unc spec_clump2 spec_clump2_unc spec_clump3 spec_clump3_unc
3604.528 8.579695400595166e-06 8.571525157057449e-07 4.078227563974015e-05 3.94679472835285e-06 2.165356131420827e-05 2.4019736220037306e-06 3.319610965869562e-05 3.3119254614742143e-06 3.3306028908106394e-05 3.5620788830144795e-06 0.00018567809626205108 1.6645901366027455e-05 0.00017234663920408434 1.4668122621155238e-05 0.00043346070869419744 3.603407977459882e-05
3605.4282 8.16069244833814e-06 8.240344792772399e-07 4.402166469998889e-05 3.881452874791674e-06 2.402698020120676e-05 2.352743677009704e-06 2.548824397932002e-05 3.2461236315932094e-06 3.688003546769539e-05 3.5228107411972196e-06 0.00016701384067929547 1.6570181127974943e-05 0.00014664104866733756 1.4642502012176264e-05 0.0003541606636344359 3.5985898579793515e-05
3606.3286 8.704581173085914e-06 7.919470002498743e-07 3.148327558362784e-05 3.8216573817999545e-06 2.4316656579042738e-05 2.306802191001005e-06 2.9874770402243186e-05 3.18371266417878e-06 3.712694015560002e-05 3.496345599854251e-06 0.0001893561296857957 1.663309068719559e-05 0.00015025172456029643 1.4667837359075481e-05 0.00031972546985288233 3.602643642254353e-05
3607.2287 8.166437618531164e-06 7.655967831059651e-07 3.647018896056487e-05 3.7741217563471282e-06 2.1434200254793476e-05 2.2698592697033326e-06 3.1190007989809794e-05 3.1329884781564345e-06 3.229907986583984e-05 3.48090618206879e-06 0.00016750696139355265 1.6706451380445698e-05 0.00013713327534849032 1.4705408044292485e-05 0.0003136861177058858 3.6084871126183194e-05
3608.1291 6.946516343514518e-06 7.469763881288645e-07 3.299754668862897e-05 3.7381721940087018e-06 2.1828910134762093e-05 2.2425742910460027e-06 3.570206391064258e-05 3.096103686602125e-06 3.2413693006555654e-05 3.4670208666199736e-06 0.00016440544186762355 1.6701754793103075e-05 0.00014615390826722905 1.4704341527011678e-05 0.00039828051884749897 3.6096836399776405e-05
3609.0292 8.20471085793982e-06 7.359355678950962e-07 4.1428162349069955e-05 3.70989680649435e-06 2.460858983293568e-05 2.2229161871721195e-06 3.522485115033691e-05 3.0713789201901937e-06 3.9308715580199245e-05 3.450765877003798e-06 0.0001426062004941229 1.6593899179065954e-05 0.00014314678696779356 1.464756906188117e-05 0.0004023391725284944 3.60496121797244e-05
3609.9293 6.357437688368864e-06 7.321315278317055e-07 3.50560925872617e-05 3.688136232566874e-06 2.3085780993456667e-05 2.2101338801766766e-06 3.0483157844734858e-05 3.0579662210134445e-06 3.36089695590174e-05 3.4365288329006993e-06 0.00019887001620015518 1.64911365339238e-05 0.0001571584365461081 1.4598561147838579e-05 0.000392330244535611 3.6013167180769996e-05
3610.8297 8.410142387420306e-06 7.353443157176992e-07 4.659715179828492e-05 3.675126777614894e-06 2.619689404864675e-05 2.205235546643572e-06 2.8559585317144368e-05 3.0564498919712435e-06 3.110958667559136e-05 3.430320208494156e-06 0.00016211225091232402 1.6368734390220656e-05 0.00012072128227296437 1.4563983883863281e-05 0.00039800545726558287 3.5961970634563166e-05
3611.7299 7.67043963534223e-06 7.455825219752644e-07 3.7683276217466405e-05 3.6757663372937262e-06 2.1496944510788363e-05 2.2106744296115944e-06 2.7262743065795453e-05 3.068726616760278e-06 2.7440270656622255e-05 3.4347320366991855e-06 0.00016410994446711355 1.620387666224841e-05 0.0001399394656165192 1.4520416170804514e-05 0.0003672276093558927 3.5863159668800485e-05
3612.6302 6.0716196777743e-06 7.605415004579808e-07 3.735890078178533e-05 3.6903168009785636e-06 2.1902544516476123e-05 2.2254291506951544e-06 3.421047600012479e-05 3.0921301247531203e-06 3.6530330749867176e-05 3.448034330907117e-06 0.0001771244957316593 1.6365224088733335e-05 0.00016865110714306864 1.4587927065379627e-05 0.00037607343283174694 3.595191805480131e-05
