wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
240.0 1.5841475395104592e-09 1e-70 3.506767032471677e-30 1.8120752119119028e-25 1.1160157297668464e-24
246.0 1.5889004985878734e-09 1e-70 2.109415870757373e-28 2.935908387367768e-24 1.73818390699648e-23
252.0 2.248283070960554e-09 1e-70 1.2342798647063564e-26 3.474221748888259e-23 2.3145824003351726e-22
257.0 1.9434692491845913e-09 1.5214337403572723e-67 2.689961132596915e-25 2.2485781673010367e-22 1.3565420971234324e-21
260.0 1.9554342225565898e-09 3.4342367492318896e-65 1.171377721479947e-24 6.43608876288488e-22 4.230571488306327e-21
264.0 2.6893873802088568e-09 2.8930367487651987e-62 1.779475826047114e-25 2.410627604536977e-21 1.7022909427921136e-20
269.0 2.3839219109952147e-09 5.789639301029431e-59 2.068876292336439e-24 1.1012997025312471e-20 7.587523477769601e-20
274.0 2.563100318899597e-09 7.08561851596956e-56 2.1244096833294245e-23 4.5235112015429205e-20 3.1960062522348583e-19
279.0 2.1868532070840975e-09 4.4706594548995335e-53 1.9322249004033788e-22 1.6571291852877562e-19 1.1290318234419228e-18
284.0 2.5514001162336058e-09 1.9612032973362543e-50 1.606171711463978e-21 5.501373485406489e-19 3.873872165382199e-18
290.0 2.646779659861817e-09 1.5193952336877603e-47 1.8840760611059086e-20 2.1226745429929193e-18 1.486174319258895e-17
296.0 2.296766575078619e-09 6.049446499871038e-45 2.046473494697459e-19 7.15511881725597e-18 4.7126372394651904e-17
301.0 2.6656084797771204e-09 6.472445464393214e-43 1.2706312290844884e-18 1.8879632442632845e-17 1.22940844910545e-16
308.0 1.937840731884535e-09 2.2228249422377255e-40 3.7413545597647165e-20 5.75048317015555e-17 3.7301408198154136e-16
318.0 2.844336048970712e-09 5.3875108259841055e-37 5.823860493778584e-19 2.5763337565279215e-16 1.8859208551347263e-15
328.0 3.3229910709986154e-09 3.997210737919421e-34 7.520423145815404e-18 9.495629509172794e-16 7.130503672965809e-15
338.0 2.7483343726333745e-09 1.1149766692760187e-31 8.375101932884255e-17 2.951082231981385e-15 2.0660295195606368e-14
348.0 2.6809783162904675e-09 1.7457495694667888e-29 7.639190064707441e-16 8.83804760523884e-15 5.868618302571208e-14
357.0 2.8629232235727223e-09 9.505057019652482e-28 1.7042501229185053e-18 1.7653560866811633e-14 1.2561684695781265e-13
366.0 3.3047991088522244e-09 3.605208810224537e-26 3.169683798179067e-18 3.620721850553752e-14 2.681555518285791e-13
375.0 3.1257776673143295e-09 8.615974610008723e-25 1.6494843853922227e-18 7.353052744124041e-14 4.952374285684599e-13
385.0 2.700643191156244e-09 1.9040247590448168e-23 1.9329298608564013e-18 1.2459672630408408e-13 8.794798593511507e-13
395.0 3.261001301339217e-09 3.461995287367473e-22 2.7885037607123235e-18 2.3555695286316847e-13 1.6462235290977728e-12
