time SFR_bulge1 SFR_bulge2 SFR_bulge3 SFR_bulge4 SFR_disk SFR_clump1 SFR_clump2 SFR_clump3
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.01 72.38699344287677 0.0 36.193496721438386 4.900993366533776 0.9900498337491681 0.0 0.0 0.0
0.02 130.9969204924771 0.0 65.49846024623855 9.607894391523232 1.9603973466135105 0.0 0.0 0.0
0.03 177.7963729636123 0.0 88.89818648180615 14.126468003763732 2.9113366006455244 0.0 0.0 0.0
0.04 214.5024147314046 0.0 107.2512073657023 18.462326927732715 3.8431577566092927 0.0 0.0 0.0
0.05 242.61226388505338 0.0 121.30613194252669 22.620935450898987 4.75614712250357 0.0 0.0 0.0
0.06 263.42958532513273 0.0 131.71479266256637 26.607613101514723 5.650587201505492 0.0 0.0 0.0
0.07 278.08777012318933 0.0 139.04388506159466 30.427538238958206 6.526756739341638 0.0 0.0 0.0
0.08 287.57053703502186 0.0 143.78526851751093 34.085751558648454 7.384930771093086 0.0 0.0 0.0
0.09 292.7301550132314 0.0 146.3650775066157 37.58715951350724 8.225380667441053 0.0 0.0 0.0
0.1 294.3035529371539 0.0 147.15177646857694 40.936537653899094 9.048374180359595 0.0 0.0 0.0
0.11 292.92655365431006 0.0 146.46327682715503 44.13853388793632 9.854175488261811 0.0 0.0 0.0
0.12 289.14644343571405 0.0 144.57322171785702 47.197671663993205 10.64304524060589 0.0 0.0 0.0
0.13 283.4330647553731 0.0 141.71653237768655 50.11835307723181 11.415240601967296 0.0 0.0 0.0
0.14 276.1885996145992 0.0 138.0942998072996 52.90486190190078 12.171015295583283 0.0 0.0 0.0
0.15 267.75619217811584 0.0 133.87809608905792 55.56136655112884 12.910619646375867 0.0 0.0 0.0
0.16 258.42754303315894 0.0 129.21377151657947 58.09192296589528 13.634300623459382 0.0 0.0 0.0
0.17 248.44959271171913 0.0 124.22479635585957 60.50047743482182 14.342301882138523 0.0 0.0 0.0
0.18 238.03039903908464 0.0 119.01519951954232 62.790869346392796 15.034863805402896 0.0 0.0 0.0
0.19 227.3443012184053 0.0 113.67215060920265 64.9668338751738 15.712223544923884 0.0 0.0 0.0
